URN,LA (code),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),PhaseOfEducation (name),SchoolSponsors (name),OfstedLastInsp,Street,Town,Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,ParliamentaryConstituency (name),OfstedRating (name)
101534,380,3377,Peel Park Primary School and Nursery,Community school,Open,Primary,,43901,Peel Park Drive,Bradford,BD2 4PR,www.peelpark.eschools.co.uk,01274-639377,Mrs,Andrea,Grist,Bradford East,Good
111225,380,1000,Strong Close Nursery School,Local authority nursery school,Open,Nursery,,43174,Airedale Road,Keighley,BD21 4LW,www.strongclosenscc.co.uk,01535-605272,Mrs,Helen,Jones,Keighley,Good
111226,380,1001,Hirst Wood Nursery School,Local authority nursery school,Open,Nursery,,43410,Clarence Road,Shipley,BD18 4NJ,www.hirstwoodnscc.co.uk,01274-584368,Mrs,Jayne,Taylor,Shipley,Good
111227,380,1002,Lilycroft Nursery School,Local authority nursery school,Open,Nursery,,45008,Lilycroft Road,Bradford,BD9 5AD,www.lilycroftnurseryschool.com,01274-545647,Mrs,Sian,Hudson,Bradford West,Outstanding
111228,380,1008,Abbey Green Nursery School,Local authority nursery school,Open,Nursery,,44852,Green Lane,Bradford,BD8 8HT,www.abbeygreen.org,01274-722070,Mrs,Virginia,Robinson,Bradford West,Good
111229,380,1009,Midland Road Nursery School,Local authority nursery school,Open,Nursery,,44516,Bateman Street,Bradford,BD8 7DJ,www.midlandroadnursery.org.uk,01274-546492,Mrs,Virginia,Robinson,Bradford West,Outstanding
111230,380,1010,St Edmund's Nursery School & Children's Centre,Local authority nursery school,Open,Nursery,,43552,Washington Street,Bradford,BD8 9QW,http://www.stedmundsbradford.org.uk/,01274-543282,Mrs,Sian,Hudson,Bradford West,Outstanding
111204,380,2027,Frizinghall Primary School,Community school,Open,Primary,,44623,Salisbury Road,Bradford,BD9 4HP,www.frizinghall.bradford.sch.uk/,01274-543072,Mrs,Victoria,Merriman,Bradford West,Good
111218,380,2054,Newby Primary School,Community school,Open,Primary,,44833,Ryan Street,Bradford,BD5 7DQ,http://www.newbyprimary.co.uk,01274-772208,Mr,Gareth,Baterip,Bradford East,Good
111219,380,2055,Sandy Lane Primary School,Community school,Open,Primary,,43383,Cottingley Road,Bradford,BD15 9JU,www.sandylaneprimary.co.uk,01274-546493,Mrs,Fiona,Newsome,Bradford West,Good
111220,380,2057,Swain House Primary School,Community school,Open,Primary,,44993,Radcliffe Avenue,Bradford,BD2 1JL,www.swainhouse.co.uk,01274-639049,Mrs,Clare,Pugh,Bradford East,Good
111221,380,2058,Thackley Primary School,Community school,Open,Primary,,43641,Town Lane,Bradford,BD10 8PJ,http://www.thackleyschool.com,01274-414437,Mrs,Annette,Patterson,Bradford East,Good
111224,380,2062,Blakehill Primary School,Community school,Open,Primary,,44762,Highfield Road,Bradford,BD10 8QN,www.blakehillprimary.co.uk/,01274-414355,Mrs,Lisa,Keighley,Bradford East,Good
111230,380,2071,Wellington Primary School,Community school,Open,Primary,,43425,Dudley Hill Road,Bradford,BD2 3DE,www.wellingtonprimaryschool.co.uk/,01274-774446,Mrs,Joy,Wood,Bradford East,Good
111233,380,2074,Wibsey Primary School,Community school,Open,Primary,,45042,North Road,Bradford,BD6 1RL,www.wibseyprimary.co.uk/,01274-678016,Mr,Nigel,Cooper,Bradford South,Good
111237,380,2081,Stocks Lane Primary School,Community school,Open,Primary,,43410,Stocks Lane,Bradford,BD13 2RH,www.stockslaneprimary.co.uk,01274-880569,Mrs,Lucy,Neal,Bradford South,Good
111238,380,2084,Farfield Primary and Nursery School,Community school,Open,Primary,,43846,Reevy Crescent,Bradford,BD6 2BS,www.farfieldprimary.co.uk,01274-678545,Mrs,Sarah,Nichols,Bradford South,Good
111241,380,2090,Ley Top Primary School,Community school,Open,Primary,,44700,Avenel Road,Bradford,BD15 7PQ,www.leytopprimary.co.uk,01274-541554,Mrs,Sandra,Rouse,Bradford West,Good
111246,380,2100,Worthinghead Primary School,Community school,Open,Primary,,44699,Wyke Lane,Bradford,BD12 9EL,http://www.worthinghead.bradford.sch.uk,01274-414904,Mrs,Lillian,Sharp,Bradford South,Good
111247,380,2101,Poplars Farm Primary School,Community school,Open,Primary,,43117,Poplars Park Road,Bradford,BD2 1LQ,www.poplarsfarm.bradford.sch.uk/,01274-307490,Mrs,Jo,Speak,Bradford East,Good
111248,380,2102,Bankfoot Primary School,Community school,Open,Primary,,44735,Bolingbroke Street,Bradford,BD5 9NR,www.bankfootprimary.co.uk/,01274-732068,Mrs,Juliet,Wright,Bradford East,Requires improvement
111249,380,2103,Fagley Primary School,Community school,Open,Primary,,42816,Falsgrave Avenue,Bradford,BD2 3PU,www.fagley.bradford.sch.uk,01274-771124,Mrs,Keira Burnsall,Victoria Rutherford,Bradford East,Outstanding
111250,380,2107,Brackenhill Primary School,Community school,Open,Primary,,43651,Dracup Road,Bradford,BD7 4HA,www.brackenhill.bradford.sch.uk/,01274-578286,Mrs,Nair,Ishtiaq,Bradford South,Good
111253,380,2111,Crossflatts Primary School,Community school,Open,Primary,,43389,Morton Lane,Bingley,BD16 2EP,https://www.crossflatts.bradford.sch.uk/web,01274-782070,Mrs,Nicola,Bennett,Shipley,Good
111255,380,2113,Eldwick Primary School,Community school,Open,Primary,,43361,Warren Lane,Bingley,BD16 3LE,www.eldwick.bradford.sch.uk,01274-568361,Mr,Daniel,Lomas,Shipley,Good
111302,380,2124,Ingrow Primary School,Community school,Open,Primary,,44762,Broomhill Avenue,Keighley,BD21 1BW,http://www.ingrow.bradford.sch.uk,01535-603868,Mrs,Lauren,Murphy,Keighley,Good
111305,380,2128,Long Lee Primary School,Community school,Open,Primary,,45014,Cherry Tree Rise,Keighley,BD21 4RU,www.longleeprimary.org.uk/,01535-603986,Mrs,S,Holdsworth,Keighley,Good
111308,380,2134,Stanbury Village School,Community school,Open,Primary,,43229,Main Street,Keighley,BD22 0HA,http://www.stanburyvillageschool.co.uk,01535-642270,Mr,Graham,Swinbourne,Keighley,Good
